effective_session,source_signal_date,rebalance_at_open,forced_universe_exit_at_open,buy,sell,held_during_session,target_weights,gross_target,cash_target
2015-10-16,2015-10-15,True,False,MAS | RIG,GOOG | GOOGL,CAM | GAS | MAS | RIG | TE,CAM:0.2000000000 | GAS:0.2000000000 | MAS:0.2000000000 | RIG:0.2000000000 | TE:0.2000000000,1.0,0.0
2015-10-23,2015-10-22,True,False,CVC,RIG,CAM | CVC | GAS | MAS | TE,CAM:0.2000000000 | CVC:0.2000000000 | GAS:0.2000000000 | MAS:0.2000000000 | TE:0.2000000000,1.0,0.0
2015-10-30,2015-10-29,True,False,NVDA,MAS,CAM | CVC | GAS | NVDA | TE,CAM:0.2000000000 | CVC:0.2000000000 | GAS:0.2000000000 | NVDA:0.2000000000 | TE:0.2000000000,1.0,0.0
2015-11-06,2015-11-05,True,False,FCX,NVDA,CAM | CVC | FCX | GAS | TE,CAM:0.2000000000 | CVC:0.2000000000 | FCX:0.2000000000 | GAS:0.2000000000 | TE:0.2000000000,1.0,0.0
2015-11-30,2015-11-27,True,False,KLAC | NFX | SNDK,CAM | FCX | GAS,CVC | KLAC | NFX | SNDK | TE,CVC:0.2000000000 | KLAC:0.2000000000 | NFX:0.2000000000 | SNDK:0.2000000000 | TE:0.2000000000,1.0,0.0
2015-12-07,2015-12-04,True,False,FCX | RIG,CVC | NFX,FCX | KLAC | RIG | SNDK | TE,FCX:0.2000000000 | KLAC:0.2000000000 | RIG:0.2000000000 | SNDK:0.2000000000 | TE:0.2000000000,1.0,0.0
2015-12-14,2015-12-11,True,False,ADSK | APA | NVDA,FCX | RIG | TE,ADSK | APA | KLAC | NVDA | SNDK,ADSK:0.2000000000 | APA:0.2000000000 | KLAC:0.2000000000 | NVDA:0.2000000000 | SNDK:0.2000000000,1.0,0.0
2015-12-21,2015-12-18,True,False,ARG,ADSK,APA | ARG | KLAC | NVDA | SNDK,APA:0.1000000000 | ARG:0.1000000000 | KLAC:0.1000000000 | NVDA:0.1000000000 | SNDK:0.1000000000,0.5,0.5
2015-12-29,2015-12-28,True,False,FSLR,NVDA,APA | ARG | FSLR | KLAC | SNDK,APA:0.2000000000 | ARG:0.2000000000 | FSLR:0.2000000000 | KLAC:0.2000000000 | SNDK:0.2000000000,1.0,0.0
2016-01-06,2016-01-05,True,False,QRVO,APA,ARG | FSLR | KLAC | QRVO | SNDK,ARG:0.2000000000 | FSLR:0.2000000000 | KLAC:0.2000000000 | QRVO:0.2000000000 | SNDK:0.2000000000,1.0,0.0
2016-01-13,2016-01-12,True,False,GMCR,FSLR,ARG | GMCR | KLAC | QRVO | SNDK,ARG:0.1000000000 | GMCR:0.1000000000 | KLAC:0.1000000000 | QRVO:0.1000000000 | SNDK:0.1000000000,0.5,0.5
2016-01-21,2016-01-20,True,False,FSLR | NFLX,QRVO | SNDK,ARG | FSLR | GMCR | KLAC | NFLX,ARG:0.1000000000 | FSLR:0.1000000000 | GMCR:0.1000000000 | KLAC:0.1000000000 | NFLX:0.1000000000,0.5,0.5
2016-01-28,2016-01-27,True,False,ILMN | MYL,KLAC | NFLX,ARG | FSLR | GMCR | ILMN | MYL,ARG:0.1000000000 | FSLR:0.1000000000 | GMCR:0.1000000000 | ILMN:0.1000000000 | MYL:0.1000000000,0.5,0.5
